0,1,2,3,4
1300000000.0,200000.0,140000.0,60000.0,216666666.0
273311048.12153023,1023855903.579369,3164871.408138977,63299.81663997163,290905363.885023
3960795.1506150295,1284455949.3352811,11879141.047712,87954.01494776053,531622945.36133057
37183.99749833415,1279211606.206765,20972001.05810864,142728.7574915602,761831156.9508588
289.92163349556364,1270139823.6145031,29966387.331249528,227654.3734578323,968311309.7062521
7.135952500763474,1261096233.103252,38857219.587246396,342388.18761526997,1153157455.8548696
5.1718494488453395,1252116757.330812,47645352.7026779,486586.3032170736,1318440882.3130062
5.033899466059349,1243201217.1673663,56331687.9921089,659907.8053981923,1466037259.650349
4.927089641581819,1234349159.1507628,64917120.00906104,862014.7738847085,1597643673.4108574
4.837863542881571,1225560131.2764852,73402536.20569465,1092572.259377986,1714795613.263299
4.763255668633962,1216833684.7478268,81788816.98426776,1351248.2598894294,1818882353.6687827
4.700959656072902,1208169373.9631028,90076835.75008133,1637713.6974876116,1911160860.9542427
4.649128223060892,1199566756.4930396,98267458.96458606,1951642.3949961856,1992768387.8151982
4.606263570210866,1191025393.0582988,106361546.1979426,2292711.0529337777,2064733866.1225998
4.571138001045762,1182544847.5071063,114359950.18126914,2660599.226596962,2127988216.5556946
4.54273535616982,1174124686.7930539,122263516.85840335,3054989.3033590596,2183373675.680858
4.5202071378028075,1165764480.9530745,130073085.43724264,3475566.4801577227,2231652235.275338
4.502839185993501,1157463803.0854394,137789488.44096038,3922018.7410464953,2273513281.2000685
4.49002605386358,1149222229.32805,145413551.75853235,4394036.835046883,2309580501.9933505
4.481251087882819,1141039338.836669,152946094.69534627,4891314.253978384,2340418144.0157375
4.476070728756103,1132914713.7639475,160387930.0220367,5413547.211039822,2366536660.617765
4.474102113907429,1124847939.236913,167739864.02662364,5960434.618027935,2388397850.133046
4.475013103484285,1116838603.3374336,175002696.5601271,6531678.065283816,2406419462.2364144
4.478514260485238,1108886297.0797706,182177221.0884928,7126981.799025094,2420979410.4488997
4.484352276320858,1100990614.3905401,189264224.73922324,7746052.700893423,2432419552.478626
4.49230463009094,1093151152.087246,196264488.35109103,8388600.266232126,2441049130.0194545
4.5021752054978545,1085367509.884119,203178786.47023854,9054336.602596927,2447147836.1322246
4.513790432676689,1077639290.2498107,210007887.63432297,9742976.320653144,2450968743.691487
4.5269966079523,1069966098.714706,216752553.7850429,10454236.749686224,2452740597.8415666
4.541656755998571,1062347543.3208816,223413541.34018984,11187837.536056057,2452670481.110952
4.557649030897552,1054783234.9565879,229991600.55316624,11943500.87858529,2450945626.232332
4.574864403979886,1047272787.5963771,236487475.05942628,12720951.69273715,2447735225.1959186
4.593205288588239,1039815817.5821849,242901903.2699152,13519917.09175555,2443192457.895338
4.612584263769186,1032411944.1695259,249235617.32575935,14340126.770598851,2437455767.3582335
4.632922747724712,1025060789.2400506,255489343.6591598,15181312.795595594,2430650365.6734276
4.654149965089646,1017761977.3148571,261663802.97493982,16043209.6083993,2422889478.011984
4.676202271340063,1010515136.0641154,267759709.28070557,16925554.380000226,2414275340.0764046
4.6990221358022755,1003319895.1517605,273777772.110942,17828086.188581206,2404900558.464239
4.722557837093876,996175887.1481165,279718694.7842526,18750546.658083875,2394848784.50214
4.746762373146214,989082747.2694731,285583174.9074594,19692679.770766,2384195597.8040233
4.771593326420023,982040113.47682,291371904.19818604,20654231.927726682,2373009294.861569
4.797012443721487,975047625.927791,297085569.5393479,21634951.559342176,2361351674.4112096
4.8229848645831215,968104927.6632211,302724851.6700697,22634589.604132023,2349278492.1833434
4.849479059855366,961211664.2939922,308290425.7972808,23652899.27918867,2336840137.120731
4.8764666261796625,954367483.370119,313782962.80258703,24689635.637133423,2324082206.8825994
4.903921551719461,947572036.0497175,319203126.069294,25744556.723046493,2311045732.5033913
4.931820327414009,940824975.0524187,324551575.3882781,26817422.144248094,2297767882.035662
4.960141733240467,934125955.5406114,329828965.28347975,27907993.680501327,2284282200.87934
4.988866506869998,927474635.748748,335035943.833243,29016035.706592895,2270618932.7560315
5.017976973680353,920870675.9100795,340173154.70171666,30141314.45530565,2256805376.920348
